name,rating,location-street,location-lat,location-long
Boom-a-Rang,3.0,1290 N Mustang Rd,35.4031930076352,-97.7232629433274
Starbucks,3.5,120 Northeast 27th St,35.362629,-97.493561
Crimson & Whipped Cream,4.0,Campus Corner,35.2130249887705,-97.4448727816343
Cool Beans Coffee,4.5,1230 Alameda St,35.2183377742767,-97.4221920222044
Berri Licious Frozen Yogurt,4.5,15220 N Western Ave,35.6247883290052,-97.531264051795
Java Dave's,4.0,9 S Broadway,35.6548805,-97.4816895
Starbucks,4.5,1489 E 15th St,35.6388061896156,-97.4610541012933
Michelangelo's Coffee & Wine Bar,4.0,207 E Main St,35.2217522,-97.4417419
Tea Z Bar,4.5,1808 W Lindsey St,35.2035102844238,-97.4685592651367
Starbucks,3.5,1509 S Broadway,35.638004,-97.483978
Dunkin' Donuts,3.0,1600 S Sunnylane Rd,35.44945,-97.44114
Starbucks,4.0,3750 W Robinson St,35.2318537586506,-97.4961950695356
Tao Cafe,3.5,331 S Blackwelder,35.6537094,-97.4656601
Teaoli,4.5,3720 W Robinson St,35.231708088398,-97.4960285425186
Old School Bagel Cafe,4.0,775 W Covell Rd,35.682495,-97.493553
Blenders Juice & Coffee Bar,5.0,1200 W Covell Rd,35.6818161,-97.500061
Mariposa Coffee Roastery,5.0,1120 Garver St,35.217247,-97.458572
Ron's Hamburger & Chili,4.0,216 S Santa Fe Ave,35.6537563736011,-97.5120143363831
Cowgirl Coffee,4.0,121 E Waterloo Rd,35.7254087179899,-97.4778619408607
Starbucks,4.0,1601 NW 24th Ave,35.2393112478376,-97.4827262860579
Starbucks,2.5,820 W Main St,35.2181205749512,-97.455451965332
Second Wind,4.0,564 Buchanan,35.2124126269573,-97.4448689601725
Old School Bagel Cafe,3.5,710 W Main St,35.2178421020508,-97.4538345336914
Tea Cafe On the Corner,3.0,788 Asp Ave,35.211731,-97.4441223
Starbucks,4.5,100 N University Dr,35.6558229981563,-97.4714970588684
Good Morning Donuts,4.0,321 S Cemetery Rd,35.4629893133493,-97.7607912018548
Starbucks,3.0,225 W Boyd St,35.2114601,-97.4434662
Dunkin' Donuts,3.0,null,35.6248486522583,-97.4867140103779
International Pantry,4.0,1618 W Lindsey St,35.2037951,-97.4655575
Starbucks,2.0,900 Asp Ave,35.2096558,-97.4438553
Rick's Cafe,3.0,1544 W State Hwy 9,35.1825676,-97.499649
Boom-a-rang Diner,3.0,517 N Porter Ave,35.226456,-97.440613
Twelve Corners Cafe,5.0,15551 E Etowah Rd,35.1455616809416,-97.2129279876622
Amy's Coffee Cup Cafe',5.0,104 N Main St,35.6618576,-97.1957245
